itemId,itemName,itemImageURL
1,Toy Story (1995),https://images-na.ssl-images-amazon.com/images/I/91q0UP6%2BUTL._SY450_.jpg
2,Jumanji (1995),http://www.impawards.com/1995/posters/jumanji_ver3.jpg
3,Grumpier Old Men (1995),http://www.impawards.com/1995/posters/grumpier_old_men.jpg
4,Waiting to Exhale (1995),http://www.impawards.com/1995/posters/waiting_to_exhale.jpg
5,Father of the Bride Part II (1995),http://www.impawards.com/1995/posters/father_of_the_bride_part_ii.jpg
6,Heat (1995),http://www.impawards.com/1995/posters/heat.jpg
7,Sabrina (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY268_CR1,0,182,268_AL_.jpg"
8,Tom and Huck (1995),http://www.impawards.com/1995/posters/tom_and_huck.jpg
9,Sudden Death (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR0,0,182,268_AL_.jpg"
10,GoldenEye (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
11,The American President (1995),http://www.impawards.com/1995/posters/american_president_xlg.jpg
12,Dracula: Dead and Loving It (1995),http://www.impawards.com/1995/posters/dracula_dead_and_loving_it.jpg
13,Balto (1995),http://www.impawards.com/1995/posters/balto.jpg
14,Nixon (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg"
15,Cutthroat Island (1995),http://www.impawards.com/1995/posters/cutthroat_island_ver2.jpg
16,Casino (1995),http://www.impawards.com/1995/posters/casino_ver1.jpg
17,Sense and Sensibility (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
18,Four Rooms (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
